Weekdag,Datum,Veldnaam,Starttijd,Eindtijd
Monday,01-09-2025,Voetbalveld 6 (1/2-2),21:00,22:00
Monday,01-09-2025,Voetbalveld 6 (1/2-2),21:30,22:30
